               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10248,            0.042747,            0.033739,             0.90077,             0.14264,             0.12119,            0.068994,            0.098312,            0.022992,           0.0099703,            0.070423,           0.0032864,           0.0032864
                   1,            0.087429,            0.035278,           0.0074995,             0.86549,             0.18372,            0.076391,            0.026952,             0.08803,            0.018874,           0.0061147,            0.040211,           0.0064083,           0.0064083
                   2,            0.082697,             0.03047,           0.0055409,             0.73369,             0.21338,             0.11944,            0.072385,            0.082701,            0.016839,            0.006017,           0.0097868,           0.0093173,           0.0093173
                   3,            0.075968,            0.028084,           0.0051711,             0.71346,             0.24693,             0.15926,            0.099678,            0.066061,            0.019058,           0.0053461,           0.0090419,           0.0090419,           0.0090419
                   4,            0.069486,            0.026378,            0.004706,             0.82284,             0.25067,             0.22286,             0.15645,             0.06608,            0.017536,           0.0049105,           0.0090419,           0.0090419,           0.0090419
                   5,            0.065027,             0.02579,           0.0045159,              0.8269,              0.2544,             0.23328,             0.17882,            0.055652,             0.01724,           0.0051877,           0.0087226,           0.0087226,           0.0087226
                   6,            0.061986,            0.025094,           0.0041347,             0.85474,             0.26773,              0.2574,             0.16271,            0.053399,            0.018307,           0.0046542,           0.0084032,           0.0084032,           0.0084032
                   7,            0.058835,            0.024759,           0.0040988,             0.83853,             0.26613,             0.35065,              0.2009,            0.057956,            0.018004,           0.0045011,           0.0080839,           0.0080839,           0.0080839
                   8,            0.057023,            0.024059,           0.0036613,             0.70344,             0.40764,             0.30465,             0.14989,            0.054526,            0.018126,           0.0040652,           0.0077645,           0.0077645,           0.0077645
                   9,            0.056133,            0.024252,           0.0033755,              0.8392,             0.38412,             0.40253,             0.25303,            0.049724,             0.01821,           0.0038905,           0.0074452,           0.0074452,           0.0074452
                  10,             0.05341,            0.024038,           0.0036461,             0.84398,             0.40533,             0.39388,             0.23678,            0.048981,            0.017403,           0.0038424,           0.0071258,           0.0071258,           0.0071258
                  11,            0.052547,             0.02347,            0.003382,             0.85609,             0.42133,             0.42144,             0.22154,             0.04889,            0.017151,           0.0037284,           0.0068065,           0.0068065,           0.0068065
                  12,            0.050796,            0.023273,            0.003192,             0.85526,             0.38656,             0.40141,             0.27602,            0.045644,            0.017385,            0.003578,           0.0064871,           0.0064871,           0.0064871
                  13,            0.049168,            0.023472,             0.00311,             0.85095,             0.41867,             0.40559,             0.28356,            0.045255,            0.017815,           0.0034335,           0.0061677,           0.0061677,           0.0061677
                  14,            0.048633,            0.022768,           0.0026674,             0.88126,             0.37363,             0.40632,             0.21093,            0.046353,            0.017581,           0.0033993,           0.0058484,           0.0058484,           0.0058484
                  15,            0.048015,            0.023418,           0.0029432,             0.83538,             0.40525,             0.40172,             0.26755,            0.043322,            0.018068,           0.0032713,            0.005529,            0.005529,            0.005529
                  16,            0.046158,            0.022751,           0.0026931,             0.88072,             0.41067,             0.42783,             0.28107,            0.041209,            0.016956,           0.0031989,           0.0052097,           0.0052097,           0.0052097
                  17,            0.045342,            0.022875,            0.002555,             0.80774,             0.42095,             0.38944,              0.2512,            0.043953,            0.017064,           0.0030675,           0.0048903,           0.0048903,           0.0048903
                  18,            0.044881,            0.022577,            0.002383,             0.91767,             0.41769,             0.43175,             0.27099,            0.040689,            0.017974,           0.0028796,            0.004571,            0.004571,            0.004571
                  19,             0.04366,            0.022722,           0.0022743,             0.87559,             0.37034,             0.40613,             0.27046,            0.039746,            0.017407,           0.0031319,           0.0042516,           0.0042516,           0.0042516
                  20,            0.042598,            0.022173,           0.0022511,             0.85025,             0.41671,             0.41522,             0.23869,            0.038282,            0.017161,           0.0029026,           0.0039323,           0.0039323,           0.0039323
                  21,             0.04216,            0.022512,           0.0021024,             0.84298,             0.39858,             0.39886,             0.25038,            0.036731,            0.017595,           0.0029189,           0.0036129,           0.0036129,           0.0036129
                  22,            0.041949,              0.0221,           0.0025762,             0.84315,             0.42098,              0.4356,             0.32337,            0.038161,            0.016854,           0.0029975,           0.0032935,           0.0032935,           0.0032935
